rk,game_num,date,Unnamed: 3_level_1,opponent,game_type,result,pts,pts_opp,Score_OT,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_efg_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,win,is_regular_season,is_ncaa_tourney,team_abbrev,year
1,1,2018-11-06,N,Kentucky,REG (Non-Conf),W,118,84,,43,79,0.544,12,26,0.462,31,53,0.585,0.62,20,29,0.69,13,25,38,22,10,3,4,26,26,59,0.441,4,17,0.235,22,42,.524,0.475,28,38,0.737,9,24,33,17,1,5,15,25,1,1,0,duke,2019
2,2,2018-11-11,,Army,REG (Non-Conf),W,94,72,,35,72,0.486,15,36,0.417,20,36,0.556,0.59,9,13,0.692,12,35,47,24,8,9,11,11,28,78,0.359,12,31,0.387,16,47,.340,0.436,4,7,0.571,8,27,35,22,4,1,10,17,1,1,0,duke,2019
3,3,2018-11-14,,Eastern Michigan,REG (Non-Conf),W,84,46,,36,77,0.468,5,24,0.208,31,53,0.585,0.5,7,16,0.438,21,31,52,23,14,11,11,8,21,68,0.309,3,18,0.167,18,50,.360,0.331,1,3,0.333,14,21,35,9,10,5,17,16,1,1,0,duke,2019
4,4,2018-11-19,N,San Diego State,REG (Non-Conf),W,90,64,,29,57,0.509,10,25,0.4,19,32,0.594,0.596,22,34,0.647,13,28,41,12,7,4,15,25,19,53,0.358,6,21,0.286,13,32,.406,0.415,20,27,0.741,6,22,28,8,7,3,13,23,1,1,0,duke,2019
5,5,2018-11-20,N,Auburn,REG (Non-Conf),W,78,72,,24,54,0.444,7,25,0.28,17,29,0.586,0.509,23,34,0.676,13,31,44,12,6,11,12,13,28,77,0.364,11,32,0.344,17,45,.378,0.435,5,9,0.556,17,22,39,14,8,2,9,24,1,1,0,duke,2019
6,6,2018-11-21,N,Gonzaga,REG (Non-Conf),L,87,89,,31,72,0.431,5,13,0.385,26,59,0.441,0.465,20,26,0.769,17,22,39,9,5,6,10,18,34,65,0.523,10,19,0.526,24,46,.522,0.6,11,19,0.579,11,20,31,16,5,10,9,20,0,1,0,duke,2019
7,7,2018-11-27,,Indiana,REG (Non-Conf),W,90,69,,33,63,0.524,7,20,0.35,26,43,0.605,0.579,17,29,0.586,11,24,35,16,11,10,14,24,25,64,0.391,5,16,0.313,20,48,.417,0.43,14,25,0.56,12,21,33,13,5,5,20,20,1,1,0,duke,2019
8,8,2018-12-01,,Stetson,REG (Non-Conf),W,113,49,,45,78,0.577,12,34,0.353,33,44,0.75,0.654,11,18,0.611,19,32,51,29,19,5,17,14,20,62,0.323,2,23,0.087,18,39,.462,0.339,7,13,0.538,12,16,28,11,6,4,26,14,1,1,0,duke,2019
9,9,2018-12-05,,Hartford,REG (Non-Conf),W,84,54,,35,69,0.507,5,26,0.192,30,43,0.698,0.543,9,13,0.692,14,29,43,18,15,10,13,13,20,61,0.328,8,27,0.296,12,34,.353,0.393,6,9,0.667,9,20,29,13,9,1,21,14,1,1,0,duke,2019
10,10,2018-12-08,,Yale,REG (Non-Conf),W,91,58,,33,67,0.493,5,21,0.238,28,46,0.609,0.53,20,31,0.645,13,31,44,20,16,6,15,14,23,65,0.354,3,23,0.13,20,42,.476,0.377,9,11,0.818,9,28,37,14,9,2,23,23,1,1,0,duke,2019
11,11,2018-12-18,,Princeton,REG (Non-Conf),W,101,50,,35,67,0.522,10,26,0.385,25,41,0.61,0.597,21,25,0.84,15,31,46,23,12,14,11,10,18,61,0.295,9,33,0.273,9,28,.321,0.369,5,6,0.833,3,16,19,13,9,0,18,16,1,1,0,duke,2019
12,12,2018-12-20,N,Texas Tech,REG (Non-Conf),W,69,58,,23,60,0.383,3,20,0.15,20,40,0.5,0.408,20,25,0.8,9,26,35,11,15,7,19,17,22,57,0.386,5,16,0.313,17,41,.415,0.43,9,13,0.692,6,27,33,9,6,3,23,18,1,1,0,duke,2019
13,13,2019-01-05,,Clemson,REG (Conf),W,87,68,,32,67,0.478,7,23,0.304,25,44,0.568,0.53,16,21,0.762,12,27,39,16,13,6,12,15,27,63,0.429,6,15,0.4,21,48,.438,0.476,8,12,0.667,9,26,35,14,6,2,16,16,1,1,0,duke,2019
14,14,2019-01-08,@,Wake Forest,REG (Conf),W,87,65,,36,62,0.581,7,23,0.304,29,39,0.744,0.637,8,16,0.5,12,27,39,24,7,13,17,22,22,65,0.338,4,18,0.222,18,47,.383,0.369,17,28,0.607,15,16,31,6,5,0,15,16,1,1,0,duke,2019
15,15,2019-01-12,@,Florida State,REG (Conf),W,80,78,,30,65,0.462,11,24,0.458,19,41,0.463,0.546,9,15,0.6,9,18,27,14,7,3,14,15,25,62,0.403,8,25,0.32,17,37,.459,0.468,20,24,0.833,16,20,36,16,8,7,17,14,1,1,0,duke,2019
16,16,2019-01-14,,Syracuse,REG (Conf),L,91,95,OT,31,80,0.388,9,43,0.209,22,37,0.595,0.444,20,27,0.741,14,34,48,21,8,12,11,20,35,80,0.438,11,25,0.44,24,55,.436,0.506,14,19,0.737,11,33,44,13,3,5,14,20,0,1,0,duke,2019
17,17,2019-01-19,,Virginia,REG (Conf),W,72,70,,26,51,0.51,2,14,0.143,24,37,0.649,0.529,18,31,0.581,8,22,30,6,5,1,8,18,28,53,0.528,3,17,0.176,25,36,.694,0.557,11,17,0.647,6,21,27,8,4,4,8,20,1,1,0,duke,2019
18,18,2019-01-22,@,Pittsburgh,REG (Conf),W,79,64,,28,65,0.431,7,23,0.304,21,42,0.5,0.485,16,20,0.8,14,21,35,15,9,7,12,17,22,53,0.415,3,15,0.2,19,38,.500,0.443,17,20,0.85,8,22,30,6,5,3,14,17,1,1,0,duke,2019
19,19,2019-01-26,,Georgia Tech,REG (Conf),W,66,53,,24,58,0.414,2,21,0.095,22,37,0.595,0.431,16,19,0.842,11,27,38,14,13,7,12,13,24,58,0.414,3,10,0.3,21,48,.438,0.44,2,6,0.333,9,23,32,11,10,3,18,17,1,1,0,duke,2019
