rk,game_num,date,Unnamed: 3_level_1,opponent,game_type,result,pts,pts_opp,Score_OT,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_efg_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,win,is_regular_season,is_ncaa_tourney,team_abbrev,year
1,1.0,2023-11-06,,Northern Arizona,REG (Non-Conf),W,95.0,52.0,,32.0,57.0,0.561,7.0,25.0,0.28,25.0,32.0,0.781,0.623,24.0,37.0,0.649,11.0,33.0,44.0,15.0,5.0,10.0,8.0,19.0,20.0,59.0,0.339,3.0,15.0,0.2,17.0,44.0,0.386,0.364,9.0,16.0,0.563,6.0,16.0,22.0,8.0,4.0,4.0,10.0,24.0,1,1,0,connecticut,2024
2,2.0,2023-11-11,,Stonehill,REG (Non-Conf),W,107.0,67.0,,38.0,71.0,0.535,10.0,31.0,0.323,28.0,40.0,0.7,0.606,21.0,23.0,0.913,17.0,24.0,41.0,24.0,12.0,7.0,12.0,12.0,25.0,59.0,0.424,9.0,25.0,0.36,16.0,34.0,0.471,0.5,8.0,11.0,0.727,8.0,15.0,23.0,11.0,8.0,1.0,19.0,16.0,1,1,0,connecticut,2024
3,3.0,2023-11-14,,Mississippi Valley State,REG (Non-Conf),W,87.0,53.0,,29.0,53.0,0.547,11.0,28.0,0.393,18.0,25.0,0.72,0.651,18.0,30.0,0.6,12.0,24.0,36.0,20.0,4.0,3.0,12.0,20.0,19.0,59.0,0.322,1.0,9.0,0.111,18.0,50.0,0.36,0.331,14.0,21.0,0.667,11.0,13.0,24.0,7.0,7.0,1.0,11.0,26.0,1,1,0,connecticut,2024
4,4.0,2023-11-19,N,Indiana,REG (Non-Conf),W,77.0,57.0,,25.0,56.0,0.446,7.0,22.0,0.318,18.0,34.0,0.529,0.509,20.0,25.0,0.8,15.0,28.0,43.0,19.0,8.0,4.0,13.0,21.0,17.0,45.0,0.378,3.0,13.0,0.231,14.0,32.0,0.438,0.411,20.0,28.0,0.714,2.0,15.0,17.0,6.0,7.0,3.0,12.0,21.0,1,1,0,connecticut,2024
5,5.0,2023-11-20,N,Texas,REG (Non-Conf),W,81.0,71.0,,29.0,61.0,0.475,7.0,24.0,0.292,22.0,37.0,0.595,0.533,16.0,18.0,0.889,8.0,26.0,34.0,18.0,4.0,7.0,6.0,12.0,28.0,62.0,0.452,5.0,16.0,0.313,23.0,46.0,0.5,0.492,10.0,13.0,0.769,5.0,20.0,25.0,16.0,3.0,3.0,6.0,16.0,1,1,0,connecticut,2024
6,6.0,2023-11-24,,Manhattan,REG (Non-Conf),W,90.0,60.0,,36.0,62.0,0.581,9.0,20.0,0.45,27.0,42.0,0.643,0.653,9.0,9.0,1.0,7.0,25.0,32.0,22.0,10.0,5.0,9.0,6.0,25.0,63.0,0.397,8.0,18.0,0.444,17.0,45.0,0.378,0.46,2.0,2.0,1.0,7.0,16.0,23.0,13.0,7.0,1.0,11.0,6.0,1,1,0,connecticut,2024
7,7.0,2023-11-27,,New Hampshire,REG (Non-Conf),W,84.0,64.0,,32.0,70.0,0.457,4.0,28.0,0.143,28.0,42.0,0.667,0.486,16.0,22.0,0.727,14.0,31.0,45.0,16.0,10.0,6.0,10.0,19.0,18.0,50.0,0.36,13.0,27.0,0.481,5.0,23.0,0.217,0.49,15.0,29.0,0.517,2.0,18.0,20.0,10.0,8.0,2.0,15.0,20.0,1,1,0,connecticut,2024
8,8.0,2023-12-01,@,Kansas,REG (Non-Conf),L,65.0,69.0,,23.0,56.0,0.411,11.0,28.0,0.393,12.0,28.0,0.429,0.509,8.0,15.0,0.533,7.0,22.0,29.0,9.0,3.0,4.0,7.0,18.0,23.0,46.0,0.5,9.0,14.0,0.643,14.0,32.0,0.438,0.598,14.0,20.0,0.7,4.0,22.0,26.0,13.0,4.0,7.0,8.0,14.0,0,1,0,connecticut,2024
9,9.0,2023-12-05,N,North Carolina,REG (Non-Conf),W,87.0,76.0,,34.0,66.0,0.515,10.0,31.0,0.323,24.0,35.0,0.686,0.591,9.0,16.0,0.563,8.0,31.0,39.0,25.0,5.0,4.0,6.0,18.0,28.0,63.0,0.444,7.0,20.0,0.35,21.0,43.0,0.488,0.5,13.0,22.0,0.591,8.0,21.0,29.0,18.0,3.0,1.0,7.0,13.0,1,1,0,connecticut,2024
10,10.0,2023-12-09,,ArkansasâPine Bluff,REG (Non-Conf),W,101.0,63.0,,33.0,59.0,0.559,13.0,28.0,0.464,20.0,31.0,0.645,0.669,22.0,31.0,0.71,10.0,27.0,37.0,21.0,5.0,9.0,7.0,17.0,21.0,59.0,0.356,12.0,30.0,0.4,9.0,29.0,0.31,0.458,9.0,15.0,0.6,5.0,14.0,19.0,12.0,5.0,2.0,13.0,27.0,1,1,0,connecticut,2024
